id,network_type,low_count_threshold,cpm_transform,log2_transform,voom_transform,quantile_normalize,batch_adjustment,similarity_measure,adj_power,topological_overlap,merge_cor,num_modules_before,num_modules,num_genes,med_module_size,go_total_enriched,unique_go_terms,num_go_enriched_modules,mean_go_pval,kegg_total_enriched,unique_kegg_terms,num_kegg_enriched_modules,mean_kegg_pval,total_de
2211,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,bicor,13,FALSE,1,209,209,5879,15,243,91,11,0.0039,7,3,7,0.0064,26444
2212,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,bicor,14,FALSE,1,208,208,5879,15,225,98,13,0.0096,7,4,7,0.0126,26444
2213,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,spearman,1,FALSE,1,277,277,5879,16,207,140,13,0.017,18,13,10,0.0197,26444
2214,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,spearman,2,FALSE,1,285,285,5879,16,189,99,14,0.0091,14,10,9,0.0133,26444
2215,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,spearman,3,FALSE,1,285,285,5879,16,125,70,12,0.0163,16,12,8,0.0173,26444
2216,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,spearman,4,FALSE,1,298,298,5879,16,145,63,12,0.0122,13,10,9,0.0191,26444
2217,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,spearman,5,FALSE,1,279,279,5879,17,126,64,10,0.0083,10,8,6,0.0188,26444
2218,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,spearman,6,FALSE,1,286,286,5879,16,140,79,12,0.0108,11,8,7,0.0129,26444
2219,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,spearman,7,FALSE,1,281,281,5879,16,195,114,18,0.0166,14,8,8,0.0152,26444
221,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,11,FALSE,1,298,298,5879,16,254,91,18,0.0101,12,5,10,0.0211,26444
2220,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,spearman,8,FALSE,1,283,283,5879,15,193,71,10,0.0097,9,5,6,0.0055,26444
2221,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,spearman,9,FALSE,1,276,276,5879,16,240,80,14,0.0091,15,8,9,0.0096,26444
2222,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,spearman,10,FALSE,1,265,265,5879,15,172,74,13,0.0155,15,9,8,0.0093,26444
2223,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,spearman,11,FALSE,1,253,253,5879,15,156,80,16,0.0181,11,8,6,0.014,26444
2224,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,spearman,12,FALSE,1,248,248,5879,15,144,73,12,0.0137,9,8,4,0.0089,26444
2225,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,spearman,13,FALSE,1,242,242,5879,15,149,64,11,0.0118,10,6,7,0.0207,26444
2226,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,spearman,14,FALSE,1,285,285,5879,16,182,84,11,0.0115,17,12,10,0.0174,26444
2227,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,cor-dist,1,FALSE,1,294,294,5879,16,190,133,12,0.0124,16,13,10,0.0147,26444
2228,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,cor-dist,2,FALSE,1,286,286,5879,17,175,78,10,0.008,13,11,9,0.0185,26444
2229,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,cor-dist,3,FALSE,1,279,279,5879,16,176,84,12,0.0089,10,6,8,0.0125,26444
222,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,12,FALSE,1,296,296,5879,15,203,95,14,0.0092,18,10,12,0.0237,26444
2230,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,cor-dist,4,FALSE,1,306,306,5879,15.5,222,73,15,0.01,9,6,9,0.0253,26444
2231,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,cor-dist,5,FALSE,1,292,292,5879,16,184,81,12,0.0118,8,5,8,0.0198,26444
2232,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,cor-dist,6,FALSE,1,291,291,5879,16,249,63,12,0.0087,15,9,11,0.0123,26444
2233,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,cor-dist,7,FALSE,1,286,286,5879,15,239,92,16,0.0102,10,6,8,0.0191,26444
2234,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,cor-dist,8,FALSE,1,259,259,5879,15,150,83,11,0.0071,7,5,5,0.015,26444
2235,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,cor-dist,9,FALSE,1,207,207,5879,15,161,90,12,0.0085,12,10,6,0.0177,26444
2236,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,cor-dist,10,FALSE,1,177,177,5879,15,150,75,8,0.0062,12,10,9,0.018,26444
2237,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,cor-dist,11,FALSE,1,140,140,5879,14,116,90,9,0.0144,11,10,5,0.0206,26444
2238,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,cor-dist,12,FALSE,1,259,259,5879,18,232,118,16,0.0093,13,9,9,0.0178,26444
2239,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,cor-dist,13,FALSE,1,272,272,5879,16,226,90,17,0.0104,11,6,9,0.01,26444
223,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,13,FALSE,1,289,289,5879,16,285,146,17,0.0119,23,14,13,0.0173,26444
2240,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,cor-dist,14,FALSE,1,275,275,5879,17,243,95,12,0.0085,10,6,9,0.0124,26444
2241,unsigned,1,TRUE,FALSE,FALSE,TRUE,limma,cor,1,FALSE,1,282,282,5879,16,202,96,13,0.011,19,14,8,0.0163,26444
2242,unsigned,1,TRUE,FALSE,FALSE,TRUE,limma,cor,2,FALSE,1,285,285,5879,16,158,70,11,0.0092,16,13,8,0.0189,26444
2243,unsigned,1,TRUE,FALSE,FALSE,TRUE,limma,cor,3,FALSE,1,299,299,5879,16,196,89,12,0.0127,13,9,10,0.0143,26444
2244,unsigned,1,TRUE,FALSE,FALSE,TRUE,limma,cor,4,FALSE,1,295,295,5879,16,166,100,9,0.0122,11,8,7,0.0123,26444
2245,unsigned,1,TRUE,FALSE,FALSE,TRUE,limma,cor,5,FALSE,1,291,291,5879,16,157,86,9,0.0129,9,8,5,0.0138,26444
2246,unsigned,1,TRUE,FALSE,FALSE,TRUE,limma,cor,6,FALSE,1,292,292,5879,16,269,115,13,0.0118,16,12,10,0.0169,26444
2247,unsigned,1,TRUE,FALSE,FALSE,TRUE,limma,cor,7,FALSE,1,286,286,5879,17,183,68,8,0.0083,10,7,7,0.0148,26444
2248,unsigned,1,TRUE,FALSE,FALSE,TRUE,limma,cor,8,FALSE,1,284,284,5879,17,193,61,10,0.0095,15,11,10,0.017,26444
2249,unsigned,1,TRUE,FALSE,FALSE,TRUE,limma,cor,9,FALSE,1,291,291,5879,16,192,74,10,0.0106,11,8,7,0.017,26444
224,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,14,FALSE,1,283,283,5879,16,326,141,17,0.0077,32,16,16,0.0215,26444
2250,unsigned,1,TRUE,FALSE,FALSE,TRUE,limma,cor,10,FALSE,1,294,294,5879,15,203,76,11,0.013,13,10,8,0.0208,26444
2251,unsigned,1,TRUE,FALSE,FALSE,TRUE,limma,cor,11,FALSE,1,266,266,5879,16,165,62,7,0.0073,10,7,7,0.0086,26444
2252,unsigned,1,TRUE,FALSE,FALSE,TRUE,limma,cor,12,FALSE,1,286,286,5879,15,191,76,10,0.0114,11,7,8,0.0161,26444
2253,unsigned,1,TRUE,FALSE,FALSE,TRUE,limma,cor,13,FALSE,1,266,266,5879,15,224,107,11,0.0102,12,8,9,0.0142,26444
2254,unsigned,1,TRUE,FALSE,FALSE,TRUE,limma,cor,14,FALSE,1,248,248,5879,15.5,176,56,8,0.0072,16,12,10,0.0168,26444
2255,unsigned,1,TRUE,FALSE,FALSE,TRUE,limma,bicor,1,FALSE,1,295,295,5879,16,158,59,10,0.0086,18,15,12,0.022,26444
2256,unsigned,1,TRUE,FALSE,FALSE,TRUE,limma,bicor,2,FALSE,1,293,293,5879,15,148,85,12,0.0112,13,9,9,0.0247,26444
2257,unsigned,1,TRUE,FALSE,FALSE,TRUE,limma,bicor,3,FALSE,1,288,288,5879,16,138,53,8,0.0102,12,7,11,0.0203,26444
2258,unsigned,1,TRUE,FALSE,FALSE,TRUE,limma,bicor,4,FALSE,1,292,292,5879,16,155,63,9,0.0111,13,9,11,0.016,26444
2259,unsigned,1,TRUE,FALSE,FALSE,TRUE,limma,bicor,5,FALSE,1,293,293,5879,16,157,56,9,0.0106,15,10,12,0.0216,26444
225,signed,1,FALSE,FALSE,FALSE,TRUE,limma,cor,1,FALSE,1,284,284,5879,17,226,68,12,0.009,16,12,11,0.0177,26444
