id,network_type,low_count_threshold,cpm_transform,log2_transform,voom_transform,quantile_normalize,batch_adjustment,similarity_measure,adj_power,topological_overlap,merge_cor,num_modules_before,num_modules,num_genes,med_module_size,go_total_enriched,unique_go_terms,num_go_enriched_modules,mean_go_pval,kegg_total_enriched,unique_kegg_terms,num_kegg_enriched_modules,mean_kegg_pval,total_de,total_edge_weight,irefindex_edge_weight,cpdb_total_enriched,unique_cpdb_terms,num_cpdb_enriched_modules,mean_cpdb_pval
144,signed,1,FALSE,FALSE,FALSE,FALSE,combat,spearman,4,FALSE,1,798,798,16206,16,690,529,58,0.0152,78,57,39,0.0158,42248,79477996.60,5106.68,279,177,49,0.0141
145,signed,1,FALSE,FALSE,FALSE,FALSE,combat,spearman,5,FALSE,1,811,811,16206,16,718,549,57,0.0142,83,66,39,0.0161,42248,64448925.38,4291.58,281,187,39,0.0119
146,signed,1,FALSE,FALSE,FALSE,FALSE,combat,spearman,6,FALSE,1,815,815,16206,16,749,547,62,0.0155,76,50,36,0.0122,42248,53354992.21,3667.05,311,165,48,0.0107
147,signed,1,FALSE,FALSE,FALSE,FALSE,combat,spearman,7,FALSE,1,798,798,16206,16,849,658,62,0.0133,82,64,36,0.015,42248,44921917.70,3176.49,307,203,49,0.0118
148,signed,1,FALSE,FALSE,FALSE,FALSE,combat,spearman,8,FALSE,1,809,809,16206,16,917,714,63,0.0154,98,63,35,0.0145,42248,38354731.14,2783.12,306,198,46,0.0128
149,signed,1,FALSE,FALSE,FALSE,FALSE,combat,spearman,9,FALSE,1,811,811,16206,16,964,771,60,0.0149,91,65,33,0.0153,42248,33135990.29,2462.15,325,215,54,0.0133
14,signed,1,FALSE,FALSE,FALSE,FALSE,none,cor,14,FALSE,1,784,784,16203,16.5,947,705,73,0.0127,110,79,44,0.014,42248,25984968.79,2256.63,401,239,52,0.0101
150,signed,1,FALSE,FALSE,FALSE,FALSE,combat,spearman,10,FALSE,1,767,767,16206,16,866,688,56,0.0152,76,55,32,0.0121,42248,28916804.85,2196.29,294,192,48,0.0122
151,signed,1,FALSE,FALSE,FALSE,FALSE,combat,spearman,11,FALSE,1,774,774,16206,17,899,735,56,0.0138,59,42,28,0.0157,42248,25454821.86,1973.22,266,155,45,0.0103
152,signed,1,FALSE,FALSE,FALSE,FALSE,combat,spearman,12,FALSE,1,795,795,16206,16,860,722,55,0.0121,83,55,34,0.0145,42248,22577342.82,1783.90,283,184,53,0.011
153,signed,1,FALSE,FALSE,FALSE,FALSE,combat,spearman,13,FALSE,1,801,801,16206,16,796,662,61,0.0124,80,59,39,0.0107,42248,20158548.35,1621.61,318,204,49,0.0099
