id,network_type,low_count_threshold,cpm_transform,log2_transform,voom_transform,quantile_normalize,batch_adjustment,similarity_measure,adj_power,topological_overlap,merge_cor,num_modules_before,num_modules,num_genes,med_module_size,go_total_enriched,unique_go_terms,num_go_enriched_modules,mean_go_pval,kegg_total_enriched,unique_kegg_terms,num_kegg_enriched_modules,mean_kegg_pval,total_de,leishcyc_total_enriched,unique_leishcyc_terms,num_leishcyc_enriched_modules,mean_leishcyc_pval
715,signed,1,TRUE,FALSE,FALSE,FALSE,none,cor-dist,1,FALSE,1,149,149,3183,17,172,89,9,0.0079,5,2,5,0.0075,2798,0,0,0,NaN
716,signed,1,TRUE,FALSE,FALSE,FALSE,none,cor-dist,2,FALSE,1,141,141,3183,18,105,64,7,0.0073,3,2,3,0.004,2798,0,0,0,NaN
717,signed,1,TRUE,FALSE,FALSE,FALSE,none,cor-dist,3,FALSE,1,147,147,3183,16,205,88,10,0.0086,4,1,4,0.0126,2798,0,0,0,NaN
718,signed,1,TRUE,FALSE,FALSE,FALSE,none,cor-dist,4,FALSE,1,152,152,3183,16,205,94,11,0.0063,4,1,4,0.0064,2798,2,2,2,0.0346
719,signed,1,TRUE,FALSE,FALSE,FALSE,none,cor-dist,5,FALSE,1,158,158,3183,17,179,70,11,0.0063,6,3,6,0.0155,2798,1,1,1,0.0368
71,signed,1,FALSE,FALSE,FALSE,FALSE,limma,bicor,1,FALSE,1,161,161,3183,15,180,110,6,0.0123,3,2,3,0.0122,2798,1,1,1,0.0259
720,signed,1,TRUE,FALSE,FALSE,FALSE,none,cor-dist,6,FALSE,1,157,157,3183,16,158,62,9,0.0064,4,1,4,0.0124,2798,2,2,2,0.0177
721,signed,1,TRUE,FALSE,FALSE,FALSE,none,cor-dist,7,FALSE,1,147,147,3183,17,113,52,6,0.0073,5,2,5,0.0194,2798,2,2,2,0.0187
722,signed,1,TRUE,FALSE,FALSE,FALSE,none,cor-dist,8,FALSE,1,157,157,3183,16,137,69,6,0.0066,4,2,4,0.0083,2798,4,4,2,0.019
723,signed,1,TRUE,FALSE,FALSE,FALSE,none,cor-dist,9,FALSE,1,153,153,3183,15,114,52,5,0.0048,5,3,5,0.0195,2798,1,1,1,0.0119
724,signed,1,TRUE,FALSE,FALSE,FALSE,none,cor-dist,10,FALSE,1,154,154,3183,17,124,66,8,0.0062,3,2,3,0.0115,2798,1,1,1,0.0438
725,signed,1,TRUE,FALSE,FALSE,FALSE,none,cor-dist,11,FALSE,1,158,158,3183,16.5,143,67,9,0.0058,3,1,3,0.0015,2798,0,0,0,NaN
726,signed,1,TRUE,FALSE,FALSE,FALSE,none,cor-dist,12,FALSE,1,158,158,3183,16,166,93,9,0.0078,6,4,5,0.0061,2798,0,0,0,NaN
727,signed,1,TRUE,FALSE,FALSE,FALSE,none,cor-dist,13,FALSE,1,152,152,3183,16,98,63,7,0.0046,2,1,2,2e-04,2798,1,1,1,0.0257
728,signed,1,TRUE,FALSE,FALSE,FALSE,none,cor-dist,14,FALSE,1,143,143,3183,16,120,84,9,0.0099,3,2,3,0.0114,2798,1,1,1,0.0368
729,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor,1,FALSE,1,163,163,3183,16,70,33,5,0.0132,4,3,4,0.0347,2798,3,3,2,0.0322
72,signed,1,FALSE,FALSE,FALSE,FALSE,limma,bicor,2,FALSE,1,161,161,3183,15,118,50,6,0.0041,3,1,3,0.0103,2798,1,1,1,0.0259
730,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor,2,FALSE,1,159,159,3183,16,82,40,7,0.014,2,2,2,0.0381,2798,2,2,1,0.0458
731,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor,3,FALSE,1,160,160,3183,15,110,67,6,0.0143,2,2,2,0.0193,2798,4,4,3,0.02
732,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor,4,FALSE,1,151,151,3183,17,124,62,7,0.014,4,3,4,0.036,2798,6,6,4,0.0351
733,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor,5,FALSE,1,163,163,3183,15,62,38,9,0.0186,3,1,3,0.0234,2798,2,2,1,0.0476
734,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor,6,FALSE,1,155,155,3183,16,62,39,7,0.0113,5,4,4,0.0171,2798,4,4,3,0.0224
735,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor,7,FALSE,1,155,155,3183,16,101,45,7,0.0082,4,3,3,0.0184,2798,4,4,3,0.0239
736,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor,8,FALSE,1,155,155,3183,16,62,48,8,0.02,5,4,4,0.0183,2798,2,2,1,0.047
737,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor,9,FALSE,1,168,168,3183,16,123,65,9,0.0207,4,4,3,0.0226,2798,3,3,2,0.0362
738,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor,10,FALSE,1,159,159,3183,16,82,37,8,0.0196,3,3,2,0.0203,2798,2,2,1,0.0476
739,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor,11,FALSE,1,169,169,3183,15,93,56,8,0.0202,3,3,2,0.0192,2798,0,0,0,NaN
73,signed,1,FALSE,FALSE,FALSE,FALSE,limma,bicor,3,FALSE,1,163,163,3183,15,120,52,6,0.0038,3,1,3,0.0103,2798,1,1,1,0.0259
740,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor,12,FALSE,1,164,164,3183,15.5,73,34,6,0.013,2,2,2,0.0205,2798,0,0,0,NaN
741,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor,13,FALSE,1,166,166,3183,15,77,39,6,0.0147,3,3,2,0.0203,2798,0,0,0,NaN
742,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor,14,FALSE,1,165,165,3183,15,85,47,7,0.0172,4,4,3,0.0152,2798,0,0,0,NaN
743,signed,1,TRUE,FALSE,FALSE,FALSE,limma,bicor,1,FALSE,1,155,155,3183,16,69,50,4,0.0149,6,6,6,0.0178,2798,0,0,0,NaN
744,signed,1,TRUE,FALSE,FALSE,FALSE,limma,bicor,2,FALSE,1,163,163,3183,16,116,75,6,0.0177,4,4,4,0.0183,2798,0,0,0,NaN
745,signed,1,TRUE,FALSE,FALSE,FALSE,limma,bicor,3,FALSE,1,160,160,3183,16,93,52,5,0.0183,5,5,5,0.0166,2798,0,0,0,NaN
746,signed,1,TRUE,FALSE,FALSE,FALSE,limma,bicor,4,FALSE,1,152,152,3183,17,100,59,6,0.0224,3,3,3,0.0104,2798,0,0,0,NaN
747,signed,1,TRUE,FALSE,FALSE,FALSE,limma,bicor,5,FALSE,1,157,157,3183,17,109,68,7,0.0254,3,2,3,0.0284,2798,0,0,0,NaN
748,signed,1,TRUE,FALSE,FALSE,FALSE,limma,bicor,6,FALSE,1,164,164,3183,16,76,50,8,0.0235,2,2,2,0.0216,2798,0,0,0,NaN
749,signed,1,TRUE,FALSE,FALSE,FALSE,limma,bicor,7,FALSE,1,149,149,3183,17,112,84,9,0.023,4,3,4,0.0196,2798,0,0,0,NaN
74,signed,1,FALSE,FALSE,FALSE,FALSE,limma,bicor,4,FALSE,1,162,162,3183,15,179,109,6,0.012,2,1,2,0.0078,2798,1,1,1,0.0259
750,signed,1,TRUE,FALSE,FALSE,FALSE,limma,bicor,8,FALSE,1,155,155,3183,16,98,59,8,0.0216,2,1,2,0.0159,2798,0,0,0,NaN
751,signed,1,TRUE,FALSE,FALSE,FALSE,limma,bicor,9,FALSE,1,151,151,3183,17,57,40,4,0.0167,5,4,5,0.0159,2798,0,0,0,NaN
752,signed,1,TRUE,FALSE,FALSE,FALSE,limma,bicor,10,FALSE,1,172,172,3183,15.5,110,71,5,0.0148,3,2,3,0.0097,2798,0,0,0,NaN
753,signed,1,TRUE,FALSE,FALSE,FALSE,limma,bicor,11,FALSE,1,154,154,3183,15,96,83,4,0.0273,3,3,3,0.0216,2798,0,0,0,NaN
754,signed,1,TRUE,FALSE,FALSE,FALSE,limma,bicor,12,FALSE,1,156,156,3183,15,70,48,4,0.0207,3,2,3,0.0319,2798,0,0,0,NaN
755,signed,1,TRUE,FALSE,FALSE,FALSE,limma,bicor,13,FALSE,1,152,152,3183,16,105,58,6,0.0175,3,2,3,0.0208,2798,0,0,0,NaN
756,signed,1,TRUE,FALSE,FALSE,FALSE,limma,bicor,14,FALSE,1,158,158,3183,16,110,83,6,0.0248,3,3,3,0.0254,2798,0,0,0,NaN
757,signed,1,TRUE,FALSE,FALSE,FALSE,limma,spearman,1,FALSE,1,161,161,3183,15,42,42,1,0.0023,4,4,3,0.0169,2798,0,0,0,NaN
758,signed,1,TRUE,FALSE,FALSE,FALSE,limma,spearman,2,FALSE,1,169,169,3183,15,57,57,5,0.009,9,8,7,0.0117,2798,0,0,0,NaN
759,signed,1,TRUE,FALSE,FALSE,FALSE,limma,spearman,3,FALSE,1,167,167,3183,15,59,54,4,0.0103,7,6,5,0.0177,2798,1,1,1,0.0488
75,signed,1,FALSE,FALSE,FALSE,FALSE,limma,bicor,5,FALSE,1,163,163,3183,15,179,109,6,0.012,2,1,2,0.0078,2798,1,1,1,0.0259
760,signed,1,TRUE,FALSE,FALSE,FALSE,limma,spearman,4,FALSE,1,156,156,3183,15.5,56,56,4,0.0094,9,8,7,0.0197,2798,0,0,0,NaN
761,signed,1,TRUE,FALSE,FALSE,FALSE,limma,spearman,5,FALSE,1,154,154,3183,16,49,49,4,0.0059,8,7,6,0.0217,2798,0,0,0,NaN
762,signed,1,TRUE,FALSE,FALSE,FALSE,limma,spearman,6,FALSE,1,159,159,3183,15,74,33,6,0.0173,9,8,7,0.0258,2798,0,0,0,NaN
763,signed,1,TRUE,FALSE,FALSE,FALSE,limma,spearman,7,FALSE,1,162,162,3183,15,49,26,4,0.0204,7,6,5,0.0179,2798,0,0,0,NaN
